High,Low,Open,Close,Volume,Adj Close
11000.98046875,10926.919921875,10926.919921875,10997.349609375,1506600,10997.349609375
11029.76953125,10992.2099609375,10996.75,11005.9697265625,1539600,11005.9697265625
11038.919921875,10947.76953125,11006.7197265625,11019.419921875,1839500,11019.419921875
11125.2197265625,11020.6298828125,11020.7001953125,11123.1103515625,2239200,11123.1103515625
11154.5498046875,11096.2001953125,11122.9599609375,11144.5703125,2037200,11144.5703125
11153.7900390625,10973.919921875,11143.66015625,11018.66015625,3739500,11018.66015625
11095.2998046875,10977.849609375,11018.3603515625,11092.0498046875,2148500,11092.0498046875
11146.080078125,11081.4697265625,11093.1103515625,11117.0595703125,1751700,11117.0595703125
11153.7197265625,11071.33984375,11116.91015625,11124.919921875,1888800,11124.919921875
11149.8603515625,11016.400390625,11119.7802734375,11134.2900390625,2147000,11134.2900390625
